	Name of Organization	Contact Name	Address	City	State	Address (2)	City (2)	State (2)	GEOFIPS	Zip code	Contact Info	County	Industry	Industry (2nd)	Industry (3rd)	Value Network	Value Network (2nd)	Value Network (3rd)	Business Category	Business Category (2nd)	Business Category (3rd)	# of Employees	Products	Top Three ingredients	Affiliation 	Website	Various Add on	Opening Date	Over Ten Years Running	Economic_Measure_Code
14	Appalachian School of Herbalism	Ceara Foley	2 Westwood Place	Asheville	NC				37021.0	28806	828-350-1221	Buncombe	Education			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Herbalist training	Certification programs in Foundational, Traditional, and Clinical Herbalism as well Energy Healing, Flower Essences, and Forest Skills.		http://herbsheal.com/		0		WCUR_REAS_NP00
15	Appalachian School of Herbalism Apothecary	Ceara Foley	2 Westwood Place	Asheville	NC				37021.0	28806	828-350-1221	Buncombe	Medical			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Agriculture	Personal and Health Care		0	Apothecary store	Ethically wildcrafted & sustainably harvested herbs and extracts		http://herbsheal.com/apothecary/		0		WCUR_REAS_NP00
16	Appalachian Spa Ventures Mobile Onsite Massage Spa		Biltmore Forest Area	Asheville	NC				37021.0	28803	828-230-1441	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	 Spa treatment and products	oils and aroma therapy		http://www.appalachianspaventures.com/	Mobile unit	0		WCUR_REAS_NP00
17	Appalachian State University-Enology Brewing Lab and Vitaculture	Rusty Kuhfeld	949 Blowing Rock Rd.	Boone	NC				37189.0	28608	828-406-6014	Watauga	University			Testing Labs, Research Institutions and Product Development			Education and Research			0	Testing, Research, and Product Development	Analytical Services for Wine, Cider, and Distillate		https://wine.appstate.edu/wine-quality-alliance	production of consistent, high quality products providing analytical services to Raw Materials and producers	0		WCUR_REAS_NP00
18	Appalachian Sustainable Agriculture Program (ASAP)		306 West Haywood St.	Asheville	NC				37021.0	28801	828-236-1282	Buncombe	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Agriculture education and market support			http://asapconnections.org/	to help local farms thrive, link farmers to markets and supporters, and build healthy communities through connections to local food.	0		WCUR_REAS_NP00
19	Apple Pharms Ingredients 	Ryan Fearon	133 Thompson St.	Asheville	NC				37021.0	28803	828-772-6087	Buncombe	Biotech			Testing Labs, Research Institutions and Product Development			Education and Research			0	Biotech	Biotech		http://applepharms.com/		0		WCUR_REAS_NP00
20	Archetype Brewing		265 Haywood Rd.	Asheville	NC				37021.0	28806	828-505-4177	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer combined with outdoor space	Craft beverage		www.archetypebrewing.com	Belgium type brewing with outdoor Space	42856		WCUR_REAS_NP00
21	Around Town Massage			Asheville	NC				37021.0	28801	828-713-8845	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Spa treatments and products	On-site massage 				0		WCUR_REAS_NP00
22	Artisan Aromatics		517 Jim Creek Rd.	Burnsville	NC				37199.0	28714	828-338-5155	Yancey	Personal Products			Processing and Wholesale Distribution	End Consumer Distribution		Personal and Health Care			0	Essential oils	Therapeutic quality essential oils and enfleurage oils, kits and massage blends		www.artisanessentialoils.com/		0		WCUR_REAS_NP00
23	Artisun Gallery and Marketplace	Sunny Riggs	16 South Andrews Ave.	Hot Springs	NC				37115.0	28743	828-622-3573	Madison	Food Product			End Consumer Distribution			Food Manufacturing and Packaging			0	Food Product		Blue Ridge Naturally	http://www.artisungallery.biz/		0		WCUR_REAS_NP00
24	Ascend Adventure Wellness		797 Haywood Rd.	Asheville	NC				37021.0	28806	828-747-9917	Buncombe	End Consumer Distribution	Outdoor		End Consumer Distribution			Tourism	Personal and Health Care		0	spa treatment combining outdoor hiking adventure	massage, outdoor adventure				0		WCUR_REAS_NP00
25	Asheville Brewing Company		77 Coxe Ave.	Asheville	NC	675 Merrimon Ave.	Asheville	NC	37021.0	28801	828-254-1281	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	craft beer	Craft beverage		www.ashevillebrewing.com	Taprooms, pizza, 2nd run movie theater	38353	Yes	WCUR_REAS_NP00
26	Asheville City Market South		One Town Square Blvd.	Asheville	NC				37021.0	28803	828-210-1660	Buncombe	Agriculture			End Consumer Distribution			Agriculture			0	Farmers Market	Produce and Value added products		https://www.farmersmarketplaces.com/market/asheville-city-market-south/	Seasonal-- April-October Local food-- local farmers	0		WCUR_REAS_NP00
27	Asheville Community Yoga		8 Brookdale Rd.	Asheville	NC				37021.0	28804	828-255-5575	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Yoga	donated services--nonprofit for wellbeing		https://ashevillecommunityyoga.com/		0		WCUR_REAS_NP00
28	Asheville Distillery	None Found (Troy and sons)	12 Old Charlotte Hwy.	 Asheville	NC				37021.0	28803	828-575-2000	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Brewery	Whiskey	Local Food Guide	http://www.ashevilledistilling.com		0		WCUR_REAS_NP00
29	Asheville Goods		94 Westgate Pkwy.	Asheville	NC				37021.0	28806	828-252-9175	Buncombe	Grocery			End Consumer Distribution			Food Manufacturing and Packaging			0	Small Batch Artisan, Organic Grocery	Local value added food products--		www.ashevillegoods.com		0		WCUR_REAS_NP00
30	Asheville Pizza & Brewing Co.		675 Merrimon Ave.	Asheville	NC				37021.0	28804		Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0						35796	Yes	WCUR_REAS_NP00
31	Asheville Salt Cave and spa		12 Eagle St.	Asheville	NC				37021.0	28801	828-236-5999	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Therapeutic Salt Cave and spa					0		WCUR_REAS_NP00
32	Asheville Wellness Tours		78 N Lexington Ave.	Asheville	NC				37021.0	28801	828-407-0711	Buncombe	End Consumer Distribution	Tourism		End Consumer Distribution			Tourism	Personal and Health Care		0	Wellness combined with tour of Asheville			www.ashevillewellnesstours.com	Wellness Tourism 	0		WCUR_REAS_NP00
33	Awaken Skin and Body		1829 Hendersonville Rd.	Asheville	NC				37021.0	28803	828-774-5558	Buncombe	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Massage products	Hot stone treatments, facials		http://awakenskinandbody.com/		0		WCUR_REAS_NP00
34	Back to Balance Massage and Bodyworks		10886 Old Hwy 64 W.	Brasstown	NC				37043.0	28902	828-644-8425	Clay	End Consumer Distribution			End Consumer Distribution			Personal and Health Care			0	Massage service and products			http://www.cyndisingh.com/		0		WCUR_REAS_NP00
35	Balsam Falls Brewing Co.		506 W. Main St.	Sylva	NC				37099.0	28779	828-631-1987	Jackson	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://blog.balsamfallsbrewing.com/	Production and taproom with rotating food trucks	43009		WCUR_REAS_NP00
36	Barry Farms	Russ Barry	345 Kimzey Rd.	Mills River	NC				37089.0	28759	828.778.5409	Henderson	Food Product			Raw Materials			Agriculture			4	Culinary Herbs, Flowers, Fruits, Vegetables	Basil, Bergamot, ?	Appalachian Grown	http://www.barryfarmsnc.com/index.html	Wedding Venue	0		WCUR_REAS_NP00
37	Baxley's Chocolates	Steve Baxley	628 W Main St.	Sylva	NC				37099.0	28779	828-631-3379	Jackson	Food Product			Processing and Wholesale Distribution	End Consumer Distribution		Food Manufacturing and Packaging			0	Food Product	Chocolate		https://baxleyschocolates.com/		0		WCUR_REAS_NP00
38	Bear Waters Brewing Company		101 Park St.	Canton	NC				37087.0	28716	828- 237-4200	Haywood	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://bearwatersbrewing.com/	Large taproom, pet-friendly outside space, Pigeon River Grill Restaurant on-site	41030		WCUR_REAS_NP00
39	Bearwallow Valley Ginsing	W.A Burch	1200 Bearwallow Rd.	Hendersonville	NC				37089.0	28792	828-685-3556	Henderson	Wild Harvester			Raw Materials	Processing and Wholesale Distribution		Agriculture			0	Ginseng roots					0		WCUR_REAS_NP00
40	Beeing Natural 		Personal Residence	Hot Springs	NC				37115.0	28743	828-622-7287	Madison	Cosmetics			Processing and Wholesale Distribution			Personal and Health Care			0	Hand and Body Cream	Saint Johns Wort, Honey, Comfrey Leaves	Blue Ridge Naturally	http://www.beeingnatural.com/index.html	100% wind powered server	0		WCUR_REAS_NP00
41	Ben’s Tune-up / Ben’s Beer		195 Hilliard Ave.	Asheville	NC				37021.0	28801			Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0						42461		WCUR_REAS_NP00
42	Beth Huntzinger, Massage Therapy and Reiki Energy Healing		29 Ravenscroft Dr.	Asheville	NC				37021.0	28801	828-279-7042	Buncombe	Spa			End Consumer Distribution			Personal and Health Care			0	Reiki Energy Healing, hot stone and pre-natal massage			http://bethhuntzinger.com/		0		WCUR_REAS_NP00
43	Betsy's Farm	Ed Bowser	Murray Rd.	Canton	NC				37087.0	28716	828-779-1843	Haywood	Food Product			Raw Materials			Agriculture			2	Vegetables	Vegetables/ Herbs	Local Harvest	http://www.betsysfarm.com/		0		WCUR_REAS_NP00
44	Bhramari Brewing Company		101 S. Lexington Ave.	Asheville	NC				37021.0	28801		Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage		http://bhramaribrewing.com/	taproom, restaurant and outside space	42370		WCUR_REAS_NP00
45	Biltmore Brewing Company	Bryan McIntosh	One Lodge St.	Asheville	NC				37021.0	28803	800-411-3812	Buncombe	Micro-brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.brewerydb.com/brewery/cqA8ox	Contract brewery-Contracts with Highland Brewery	40238		WCUR_REAS_NP00
46	Biltmore Estate Wine Company	Jeff Plack	1 N Pack Square	Asheville	NC				37021.0	28801	828-225-6131	Buncombe	Beverage			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Wine	Beverage		http://www.biltmore.com/	Tourism connected with Biltmore Estate	0		WCUR_REAS_NP00
47	Blue Ghost Brewing Company		125 Underwood Rd.	Fletcher	NC				37021.0	28732	828-376-0159	Buncombe	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		www.blueghostbrewing.com	Production, taproom, with permanent food truck, Hungry Ghost, outdoor space with live music venue	42430		WCUR_REAS_NP00
48	Blue Lotus Ayurveda		440 Montford Ave.	Asheville	NC				37021.0	28801	828-713-4266	Buncombe	Spa			End Consumer Distribution			Personal and Health Care			0	Ayurvedic therapies and Therapeutic Spa and massage			http://www.bluelotusayurveda.com/		0		WCUR_REAS_NP00
49	Blue Moon Elise		26 Valley River Ave., Suite A	Murphy	NC				37039.0	28906	828-837-2727	Cherokee	Service	End Consumer Distribution		End Consumer Distribution			Personal and Health Care			0	Body lotion, soapmaking, essential oils, massage, yoga	Body lotion, soapmaking, essential oils, massage, yoga		https://bluemoonelise.com/contact-us/	Body lotion, soapmaking, essential oils, massage, yoga	0		WCUR_REAS_NP00
50	Blue Mountain Pizza and Brew Pub		55 N. Main St.	Weaverville	NC				37021.0	28757	828-658-8778	Buncombe	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft beer	Craft Beverage and Food Products		https://www.bluemountainpizza.com/	Small batch brewing with Pizzeria	41244		WCUR_REAS_NP00
51	Blue Ridge Acupuncture Clinic		959 Merrimon Ave.	Asheville	NC				37021.0	28804	828-254-4405	Buncombe	Alternative Medicine			End Consumer Distribution			Personal and Health Care			0	Acupuncture 					0		WCUR_REAS_NP00
52	Blue Ridge Aromatics	Ian Montgomery	560 Pine Branch Rd.	Marshall	NC				37115.0	28753	828-545-3963	Madison	Medical			Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Personal and Health Care			0	Craft Essential Oil Distillery	Pure, distilled and mixed aromatic essential oils		http://blueridgearomatics.com/		0		WCUR_REAS_NP00
53	Blue Ridge Botanicals Inc	Ray Bowkley	978 Laurel Branch Rd.	Vilas	NC				37189.0	28692	828-297-5230	Watauga	Food Product			Raw Materials			Agriculture			1	Herb Supplier	Ginseng, Goldenseal, Valerian	None	Called		0		WCUR_REAS_NP00
54	Blue Ridge Food Ventures		1461 Sand Hill Rd.	Candler	NC				37021.0	28715	828-348-0130	Buncombe	Support Services			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Natural Products Packaging facility	Food packaging services		http://www.blueridgefoodventures.org/	co-packing facility supporting the Processing and Wholesale Distribution of  natural products	0		WCUR_REAS_NP00
55	Blue Ridge School of Herbal Medicine	CoreyPine Shane	606 New Leicester Highway, Suit	Asheville	NC				37021.0	28806	828-505-0032	Buncombe	Herbal School			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Award winning holistic training	Blending Chinese and Euro-American herbal medicine		http://www.blueridgeschool.org/		0		WCUR_REAS_NP00
56	Boojum Brewing Company		50 N Main St.	Waynesville	NC	357 Dayton Dr.	Waynesville	NC	37087.0	28786	828-944-0888	Haywood	Brewery	Restaurant		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft Beverage		http://www.boojumbrewing.com/	Production facility, taproom with outside seating.  Taproom in downtown w/ full restaurant	42036		WCUR_REAS_NP00
57	Botanics Trading/ Chuck Wanzer	Chuck Wanzer	301 Westgate Dr. 	Wilkesboro	NC				37193.0	28697	336-973-3090              828-295-3313	Wilkes	Medical			Raw Materials			Agriculture			0		Saw Palmetto Berries, Black Cohosh root, Slippery Elm bark ,Passionflower herb ,Goldenseal root and herb	Blue Ridge Naturally	http://botanicstrading.com		0		WCUR_REAS_NP00
58	Botanipharm, LLC	Randy Beavers	1421 Boyles Mill Rd.	Dalton	GA				13313.0	30721	855-227-3090		Scientist			Testing Labs, Research Institutions and Product Development			Education and Research			0	Agriculture scientist/Product development	Medicinal herb research, goldenseal Raw Materials coop		http://botanipharm.com/product/	Integrating plants, science and health working with WCU, NC Biotech Center and Blue Ridge Food Ventures	0		WCUR_REAS_NP00
59	Brevard Brewing Company	Kyle Williams	63 E. Main St.	Brevard	NC				37175.0	28712	828-885-2101	Transylvania	Brewery	Tourism		Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage, live music venue			Production, taproom, live music venue	41000		WCUR_REAS_NP00
60	Brewery Cursus Keme		135 Thompson St.	Asheville	NC				37175.0	28803	828-412-5193	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Craft beverage		http://cursuskeme.com/	Old World style beer garden	0		WCUR_REAS_NP00
61	Bright Light Wellness, LLC			Asheville	NC				37021.0	28801	828-586-8881	Buncombe 	Alternative Medicine			End Consumer Distribution			Personal and Health Care			0	onsite wellness: Massage, Acupuncture, Movement			https://brightlightwellness.com/	Onsite Mobile Wellness Center	0		WCUR_REAS_NP00
62	Broad River Botanicals 	David Turbyfill	2805 NC Highway 5	Black Mountain	NC				37021.0	28711	828-664-9902	Buncombe	Floriculture			Raw Materials			Agriculture			0	Herbal plant Raw Materials	Herbal plants and seeds		https://www.manta.com/c/mmd9v2y/broad-river-botanicals-incorporated		0		WCUR_REAS_NP00
63	Buchi Kombucha	Sarah Schomber                Jeannine Buscher	242 Derringer Dr.	Marshall	NC				37115.0	28753	828-484-8229	Madison	Craft Beverage Brewery			Processing and Wholesale Distribution			Tourism			0	Craft Beverage similar to tea	Craft Beverage		http://www.drinkbuchi.com/	First commercial kombucha brewery in the southeast.	0		WCUR_REAS_NP00
64	Burial Beer Co.		40 Collier Ave and Shady Oak Dr	Asheville	NC				37021.0	28803	828-475-2739	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft Beer	Variety of American Craft beverages		https://burialbeer.com/	Taproom with Permanent food truck and outdoor space	41426		WCUR_REAS_NP00
65	Burntshirt Vineyards		2695 Sugarloaf Rd.	Hendersonville	NC				37089.0	28792	828-685-2402	Henderson	Vineyard	Winery		Raw Materials	Processing and Wholesale Distribution	End Consumer Distribution	Tourism	Agriculture		0	Craft Wine	Wine		https://www.burntshirtvineyards.com/	Wedding Venue, Agri-tourism	0		WCUR_REAS_NP00
66	BusyBee Farm	Brittany Whitmire	1065 Whitmire Rd.	Brevard	NC				37175.0	28712	828-553-9228	Transylvania	Food Product			Raw Materials			Agriculture	Food Manufacturing and Packaging		0	Food Production and Honey 	Honey, Sweet Corn, Organic Beef		http://www.busybeefarms.com/		0		WCUR_REAS_NP00
67	Buxton Hall Barbecue	Elliot Moss	32 Banks Ave.	Asheville	NC				37021.0	28801	828-232-7216	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.buxtonhall.com		0		WCUR_REAS_NP00
68	Calaboose Cellars		565 Aquone Rd.	Andrews	NC				37039.0	28991	828-321-2006	Cherokee	Winery			End Consumer Distribution			Agriculture	Tourism		0	Winery	Craft Beverage		http://www.calaboosecellars.com/	Old Jailhouse-tourism End Consumer Distribution 	0		WCUR_REAS_NP00
69	Cara Mae Naturals, LLC	Cara Nicole Steinbuchel		Asheville	NC				37021.0	28806	828-280-5659	Buncombe	Skin Product			End Consumer Distribution			Personal and Health Care			0	Natural anti-aging cream			http://www.caramaeskincare.com/		0		WCUR_REAS_NP00
70	Carmel's Kitchen & Bar	Jonathan Johnson	1 Page Ave.	Asheville	NC				37021.0	28801	828-252-8730	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://carmelsofasheville.com		0		WCUR_REAS_NP00
71	Carolina Bison	Mike Ellington	356 Ridgeview Rd.	Leicester	NC				37021.0	28748	877-562-8947	Buncombe	Food Product			Raw Materials			Agriculture	Food Manufacturing and Packaging		0	Food Product	Bison, Beef, Elk	Local Harvest	https://www.drkings.com/farms/		0		WCUR_REAS_NP00
72	Carolina Farm Credit	Sherry Palmer	105 Hiwassee St.	Murphy	NC				37039.0	28906	828-837-7436	Cherokee	Financial Institution			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Financing	Farming consulting and financing		https://carolinafarmcredit.com/locations/branches/murphy.aspx	Serves Cherokee, Clay,Macon,Swain and Graham Counties	0		WCUR_REAS_NP00
73	Carolina Farm Credit	Randy Rogers	1510 Asheville Rd.	Waynesville	NC				37087.0	28786	828-452-1418	Haywood	Financial Institution			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Financing	Farming consulting and financing		https://carolinafarmcredit.com/locations/branches/waynesville.aspx	Serves Haywood and Jackson counties	0		WCUR_REAS_NP00
74	Carolina Farm Credit		2549 Chimney Rock Hwy.	Hendersonville	NC				37089.0	28792	828-693-0272	Henderson	Financial Institution			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Financing	Farming consulting and financing		https://carolinafarmcredit.com/locations/branches/hendersonville.aspx	Serves Henderson and Transylvania	0		WCUR_REAS_NP00
75	Carolina Organic Raw Materials 	Rob Everett	Box 11,570 Brevard Rd.	Asheville	NC				37021.0	28806	828-251-1189	Buncombe	Food Product			Raw Materials			Agriculture			0	Food Product	Fruits, Vegetables	Local Harvest	https://www.localharvest.org/carolina-organic-Raw Materialss-M3338	Last updated 2001-need to verify	0		WCUR_REAS_NP00
76	Catawba Brewing Company	Billy, Jetta and Scott Pyatt	32 Banks Ave.	Asheville	NC	63 Brook St.	Asheville	NC	37021.0	28801	828-430-6883	Buncombe	Brewery			Processing and Wholesale Distribution	End Consumer Distribution		Tourism			0	Craft beer	large craft brewing Processing and Wholesale Distribution		https://catawbabrewing.com/	3taprooms, rotating food trucks, purchased Palmetto Brewing company in 2017; New production facility in Asheville in 2018	42005		WCUR_REAS_NP00
77	Chai Pani	Meherwan Irani	22 Battery Park Ave.	Asheville	NC				37021.0	28801	828-254-4003	Buncombe	Restaurant			End Consumer Distribution			Tourism			0	Restaurant 	Meals	Local Food Guide	http://www.chaipaniasheville.com		0		WCUR_REAS_NP00
78	Chamber of  Commerce-Andrews		345 Locust St.	Andrews	NC				37039.0	29801	828-321-3584	Cherokee	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://andrewschamber.com/		0		WCUR_REAS_NP00
79	Chamber of  Commerce-Asheville Area	Kit Cramer	36 Montford Ave.	Asheville	NC				37021.0	28801	828-258-6123 	Buncombe	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		https://www.ashevillechamber.org/		0		WCUR_REAS_NP00
80	Chamber of  Commerce-Black Mountain & Swannanoa		201 E. State St.	Black Mountain	NC				37021.0	28711	828-669-2300	Buncombe	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://exploreblackmountain.com/		0		WCUR_REAS_NP00
81	Chamber of  Commerce-Cashiers	Stephanie Edwards	202 Highway 64 W.	Cashiers	NC				37099.0	28717	828-743-5191 	Jackson	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		https://www.cashiersareachamber.com/		0		WCUR_REAS_NP00
82	Chamber of  Commerce-Cherokee Co	Meridith Jorgensen	805 W US Highway 64	Murphy	NC				37039.0	28906	828-837-2242	Cherokee	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://www.cherokeecountychamber.com/		0		WCUR_REAS_NP00
83	Chamber of  Commerce-Clay Co	Clark Lovelace	175 E Main St.	Brevard	NC				37043.0	28712	828-883-3700	Transylvania	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://www.brevardncchamber.org/		0		WCUR_REAS_NP00
84	Chamber of  Commerce-Clay Co	Pam Roman	388 Highway 64 Bus.	Hayesville	NC				37175.0	28904	877-839-3704	Clay	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://www.claychambernc.com/our-chamber/		0		WCUR_REAS_NP00
85	Chamber of  Commerce-Fletcher Area Business Association (FABA)	Jared Bellmund	PO Box 321	Fletcher	NC				37021.0	28732	828-260-2222	Buncombe	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		http://fletcherbusiness.com/		0		WCUR_REAS_NP00
86	Chamber of  Commerce-Franklin	Linda Harbuck	98 Hyatt Rd.	Franklin	NC				37113.0	38734	828-524-3161	Macon	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		https://www.franklin-chamber.com/		0		WCUR_REAS_NP00
87	Chamber of  Commerce-Graham Co	Ron & Nancy Johnson		Robbinsville	NC				37075.0	28771	800-768-7129	Graham	Non-Profit			Technical Assistance, Educational Institutions and Support Programs			Education and Research			0	Business promotion	business networking and community promotion		https://grahamchamber.com/	Volunteer Chamber webhosts	0		WCUR_REAS_NP00
